Description,TotalSalesDollars,ProfitMargin
Bacardi Limon Traveler,409.59000000000015,96.4403427818062
Bacardi Oakheart Spiced Trav,399.6000000000002,98.13313313313314
Bacardi Party Drinks Hurricn,159.9,33.35834896810507
Bacardi Party Drinks Rum Run,303.81000000000006,4.31519699812385
Bacardi Peach Red Rum,287.76,39.6163469557965
Bak's Krupnik Honey Liqueur,704.5300000000003,36.67267540062172
Balcones Baby Blue Corn Whis,275.94,22.483148510545767
Balcones TX Whisky Single Ba,389.94,23.08047391906447
Balvenie 15 Yr Single Malt,899.9000000000001,57.141904656072896
Banknote Counterfeit,579.71,38.46578461644615
Banshee Chard,670.6400000000001,82.15137778838124
Banshee Rose 14 Pnt Nr Sonom,203.88,34.66745144202473
Barbarossa Spiced Rum,945.1400000000003,98.22460164631696
Barboursville Rsv Cab Franc,143.94,33.76406836181742
Barco de Piedra Temp Red,407.76,35.49146556798116
Barefoot Bubbly Berry Fusion,109.88999999999999,33.33333333333332
Barefoot Bubbly Tropical Fus,459.5400000000001,16.16181398790095
Barefoot Cellars Rich Red,298.74000000000007,12.365267456651283
Barefoot Cellars Rosa Red,406.5800000000002,76.0932657779527
Barefoot Crisp White Spritz,271.65999999999997,4.586615622469256
Barefoot Refresh Crisp Red,546.0800000000003,45.88704951655438
Barefoot Summer Red Spritzer,367.5400000000001,16.25401316863474
Barefoot Znfdl Cal,613.1800000000001,22.83855068444599
Baron K Kabinett,911.5200000000003,52.7777777777778
Baron de Seillac Brut Rose,311.76,31.023864511162436
Barra Petite Sirah,160.92999999999998,33.31883427577206
Basilica Amaretto,47.45,85.07903055848261
Batavia Arrack Rum,31.99,28.071272272585173
Beat 3 Single Malt Whiskey,36.99,23.384698567180322
Beaucanon Merlot Napa,80.97,54.64987032234161
Beaulieu Cstl Clr Slct Chard,174.75,4.618025751072957
Becker Family Pnt Bl,395.7800000000001,64.70766587498106
Bella Bolla Moscato,187.25,8.411214953271028
Bella Bolla Pink Moscato,456.8900000000002,50.31407997548646
Bella Bolla Red Moscato,89.88,33.778371161548726
Bella Bolle Fusione Red,98.89,27.79856406107796
Bella Italia Pnt Grigio Ter,455.52,41.93888303477344
Bella Sera Pnt Nr Venezie,155.76,30.97072419106317
